;massa_A;
t;x;y
12.963;-0.122;8.944E-2
12.997;-7.990E-2;8.400E-2
13.030;-3.353E-2;7.995E-2
13.063;1.193E-2;7.662E-2
13.097;5.870E-2;7.236E-2
13.130;0.104;7.182E-2
13.163;0.150;7.686E-2
13.197;0.195;8.135E-2
13.230;0.237;8.752E-2
13.263;0.276;9.301E-2
13.297;0.314;9.991E-2
13.330;0.348;0.108
13.363;0.381;0.115
13.397;0.411;0.121
13.430;0.438;0.127
13.463;0.459;0.135
13.497;0.475;0.144
13.530;0.488;0.149
13.563;0.500;0.153
13.596;0.508;0.155
13.630;0.511;0.155
13.663;0.512;0.155
13.696;0.506;0.153
13.730;0.499;0.150
13.763;0.485;0.145
13.796;0.468;0.140
13.830;0.445;0.134
13.863;0.419;0.126
13.896;0.392;0.117
13.930;0.363;0.109
13.963;0.327;0.100
13.996;0.289;9.307E-2
14.030;0.251;8.744E-2
14.063;0.210;8.220E-2
14.096;0.166;7.811E-2
14.130;0.121;7.566E-2
14.163;7.506E-2;7.375E-2
14.196;2.981E-2;7.432E-2
14.230;-1.606E-2;7.565E-2
14.263;-6.164E-2;7.779E-2
14.296;-0.106;8.511E-2
14.330;-0.148;9.429E-2
14.363;-0.188;0.103
14.396;-0.225;0.111
14.430;-0.260;0.118
14.463;-0.295;0.128
14.496;-0.325;0.136
14.529;-0.354;0.145
14.563;-0.376;0.154
14.596;-0.396;0.163
14.629;-0.411;0.171
14.663;-0.423;0.177
14.696;-0.434;0.181
14.730;-0.440;0.183
14.763;-0.442;0.183
14.796;-0.439;0.181
14.830;-0.434;0.178
14.863;-0.422;0.173
14.896;-0.407;0.167
14.929;-0.387;0.161
14.963;-0.364;0.153
14.996;-0.338;0.143
15.029;-0.310;0.133
15.063;-0.279;0.122
15.096;-0.244;0.113
15.129;-0.205;0.106
15.163;-0.166;9.787E-2
15.196;-0.126;8.941E-2
15.229;-8.208E-2;8.382E-2
15.263;-3.685E-2;8.003E-2
15.296;8.463E-3;7.694E-2
15.329;5.568E-2;7.266E-2
15.363;9.910E-2;7.159E-2
15.396;0.145;7.616E-2
15.429;0.189;8.087E-2
15.463;0.232;8.663E-2
15.496;0.272;9.213E-2
15.529;0.311;9.898E-2
15.563;0.344;0.107
15.596;0.378;0.114
15.629;0.407;0.121
15.663;0.431;0.126
15.696;0.456;0.135
15.729;0.472;0.142
15.763;0.485;0.148
15.796;0.497;0.153
15.829;0.503;0.154
15.863;0.506;0.154
15.896;0.506;0.153
15.929;0.504;0.152
15.962;0.495;0.148
15.996;0.481;0.144
16.029;0.465;0.138
16.062;0.444;0.133
16.096;0.419;0.125
16.129;0.392;0.118
16.162;0.360;0.108
16.196;0.327;9.981E-2
16.229;0.291;9.298E-2
16.262;0.253;8.710E-2
16.296;0.212;8.244E-2
16.329;0.169;7.818E-2
16.362;0.125;7.567E-2
16.396;8.016E-2;7.359E-2
16.429;3.460E-2;7.429E-2
16.462;-1.072E-2;7.540E-2
16.496;-5.622E-2;7.742E-2
16.529;-0.102;8.385E-2
16.562;-0.142;9.306E-2
16.596;-0.183;0.102
16.629;-0.220;0.110
16.662;-0.256;0.118
16.696;-0.289;0.126
16.729;-0.321;0.135
16.762;-0.348;0.143
16.796;-0.370;0.152
16.829;-0.391;0.161
16.862;-0.407;0.168
16.895;-0.418;0.174
16.929;-0.429;0.179
16.962;-0.435;0.181
16.995;-0.438;0.181
17.029;-0.436;0.179
17.062;-0.430;0.176
17.095;-0.419;0.172
17.129;-0.404;0.166
17.162;-0.384;0.159
17.195;-0.362;0.151
17.229;-0.338;0.143
17.262;-0.310;0.133
17.295;-0.279;0.122
17.329;-0.244;0.113
17.362;-0.206;0.105
17.395;-0.167;9.768E-2
17.429;-0.127;8.957E-2
17.462;-8.572E-2;8.387E-2
17.495;-4.075E-2;8.005E-2
17.529;4.850E-3;7.740E-2
17.562;5.019E-2;7.259E-2
17.595;9.518E-2;7.143E-2
17.629;0.140;7.506E-2
17.662;0.185;7.980E-2
17.695;0.226;8.529E-2
17.729;0.265;9.057E-2
17.762;0.302;9.733E-2
17.795;0.337;0.105
17.829;0.371;0.112
17.862;0.400;0.118
17.895;0.427;0.125
17.929;0.450;0.132
17.962;0.467;0.140
17.995;0.480;0.147
18.029;0.492;0.150
18.062;0.501;0.153
18.095;0.505;0.153
18.129;0.505;0.153
18.162;0.501;0.151
18.195;0.494;0.148
18.228;0.481;0.143
18.262;0.464;0.138
18.295;0.443;0.133
18.328;0.419;0.126
18.362;0.392;0.118
18.395;0.363;0.110
18.428;0.329;0.100
18.462;0.296;9.411E-2
18.495;0.258;8.762E-2
18.528;0.217;8.338E-2
18.562;0.175;7.854E-2
18.595;0.131;7.629E-2
18.628;8.514E-2;7.439E-2
18.662;3.974E-2;7.453E-2
18.695;-5.208E-3;7.575E-2
18.728;-5.110E-2;7.751E-2
18.762;-9.396E-2;8.268E-2
18.795;-0.137;9.208E-2
18.828;-0.175;0.101
18.862;-0.212;0.108
18.895;-0.249;0.116
18.928;-0.284;0.125
18.962;-0.314;0.133
18.995;-0.341;0.141
19.028;-0.364;0.148
19.062;-0.383;0.157
19.095;-0.399;0.164
19.128;-0.412;0.172
19.162;-0.423;0.176
19.195;-0.429;0.178
19.228;-0.432;0.178
19.261;-0.431;0.177
19.295;-0.426;0.174
19.328;-0.417;0.170
19.361;-0.403;0.165
19.395;-0.383;0.158
19.428;-0.361;0.151
19.461;-0.337;0.143
19.495;-0.309;0.133
19.528;-0.279;0.122
19.561;-0.245;0.112
19.595;-0.208;0.105
19.628;-0.169;9.762E-2
19.661;-0.129;9.024E-2
19.695;-8.884E-2;8.466E-2
19.728;-4.328E-2;8.027E-2
19.761;9.669E-4;7.704E-2
19.795;4.622E-2;7.286E-2
19.828;9.100E-2;7.085E-2
19.861;0.136;7.433E-2
19.895;0.180;7.904E-2
19.928;0.221;8.460E-2
19.961;0.261;8.984E-2
19.995;0.298;9.716E-2
20.028;0.333;0.104
20.061;0.365;0.111
20.095;0.395;0.117
20.128;0.421;0.123
20.161;0.444;0.130
20.195;0.461;0.138
20.228;0.477;0.145
20.261;0.486;0.149
20.294;0.495;0.150
20.328;0.499;0.151
20.361;0.499;0.151
20.394;0.498;0.150
20.428;0.488;0.146
20.461;0.478;0.142
20.494;0.463;0.137
20.528;0.442;0.132
20.561;0.420;0.127
20.594;0.393;0.119
20.628;0.363;0.110
20.661;0.332;0.102
20.694;0.296;9.472E-2
20.728;0.258;8.839E-2
20.761;0.219;8.410E-2
20.794;0.177;7.963E-2
20.828;0.133;7.702E-2
20.861;8.872E-2;7.454E-2
20.894;4.427E-2;7.505E-2
20.928;-8.879E-4;7.554E-2
20.961;-4.590E-2;7.721E-2
20.994;-9.023E-2;8.134E-2
21.028;-0.130;9.028E-2
21.061;-0.169;9.972E-2
21.094;-0.206;0.108
21.128;-0.243;0.115
21.161;-0.277;0.123
21.194;-0.307;0.131
21.228;-0.335;0.139
21.261;-0.358;0.146
21.294;-0.378;0.154
21.328;-0.396;0.163
21.361;-0.409;0.170
21.394;-0.417;0.174
21.428;-0.424;0.177
21.461;-0.428;0.176
21.494;-0.427;0.174
21.528;-0.422;0.172
21.561;-0.414;0.169
21.594;-0.399;0.163
21.627;-0.380;0.157
21.661;-0.361;0.150
21.694;-0.335;0.141
21.727;-0.309;0.133
21.761;-0.279;0.123
21.794;-0.246;0.113
21.827;-0.211;0.105
21.861;-0.172;9.724E-2
21.894;-0.132;8.998E-2
21.927;-9.054E-2;8.475E-2
21.961;-4.763E-2;8.026E-2
21.994;-3.019E-3;7.718E-2
22.027;4.219E-2;7.280E-2
22.061;8.703E-2;7.070E-2
22.094;0.131;7.335E-2
22.127;0.173;7.760E-2
22.161;0.216;8.294E-2
22.194;0.255;8.804E-2
22.227;0.292;9.564E-2
22.261;0.326;0.103
22.294;0.360;0.109
22.327;0.389;0.115
22.361;0.415;0.120
22.394;0.439;0.128
22.427;0.457;0.136
22.461;0.472;0.142
22.494;0.481;0.146
22.527;0.490;0.148
22.560;0.494;0.149
22.594;0.496;0.149
22.627;0.494;0.148
22.660;0.487;0.144
22.694;0.475;0.141
22.727;0.459;0.135
22.760;0.441;0.132
22.794;0.417;0.126
22.827;0.393;0.119
22.860;0.363;0.110
22.894;0.333;0.102
22.927;0.299;9.447E-2
22.960;0.261;8.814E-2
22.994;0.223;8.370E-2
23.027;0.181;7.965E-2
23.060;0.136;7.698E-2
23.094;9.259E-2;7.500E-2
23.127;4.800E-2;7.513E-2
23.160;4.203E-3;7.564E-2
23.194;-4.008E-2;7.620E-2
23.227;-8.211E-2;8.008E-2
23.260;-0.125;8.892E-2
23.294;-0.164;9.870E-2
23.327;-0.200;0.108
23.360;-0.235;0.113
23.394;-0.269;0.121
23.427;-0.302;0.130
23.460;-0.330;0.138
23.494;-0.354;0.146
23.527;-0.375;0.153
23.560;-0.390;0.161
23.593;-0.404;0.169
23.627;-0.413;0.173
23.660;-0.419;0.176
23.693;-0.424;0.176
23.727;-0.424;0.174
23.760;-0.420;0.171
23.793;-0.411;0.168
23.827;-0.397;0.163
23.860;-0.381;0.158
23.893;-0.360;0.151
23.927;-0.337;0.143
23.960;-0.309;0.133
23.993;-0.281;0.124
24.027;-0.248;0.115
24.060;-0.212;0.106
24.093;-0.174;9.769E-2
24.127;-0.134;9.054E-2
24.160;-9.208E-2;8.570E-2
24.193;-5.168E-2;8.150E-2
24.227;-7.346E-3;7.775E-2
24.260;3.576E-2;7.388E-2
24.293;7.985E-2;7.123E-2
24.327;0.124;7.382E-2
24.360;0.166;7.781E-2
24.393;0.209;8.228E-2
24.427;0.248;8.760E-2
24.460;0.285;9.492E-2
24.493;0.320;0.103
24.527;0.351;0.109
24.560;0.383;0.114
24.593;0.410;0.119
24.627;0.432;0.126
24.660;0.452;0.135
24.693;0.465;0.141
24.727;0.477;0.145
24.760;0.486;0.147
24.793;0.490;0.148
24.827;0.491;0.148
24.860;0.491;0.147
24.893;0.485;0.145
24.926;0.474;0.140
24.960;0.458;0.136
24.993;0.439;0.133
25.026;0.418;0.127
25.060;0.392;0.120
25.093;0.366;0.112
25.126;0.335;0.103
25.160;0.301;9.495E-2
25.193;0.264;8.819E-2
25.226;0.227;8.441E-2
25.260;0.185;7.982E-2
25.293;0.142;7.706E-2
25.326;9.698E-2;7.539E-2
25.360;5.479E-2;7.562E-2
25.393;1.157E-2;7.583E-2
25.426;-3.181E-2;7.574E-2
25.460;-7.574E-2;7.812E-2
25.493;-0.117;8.698E-2
25.526;-0.155;9.716E-2
25.560;-0.192;0.106
25.593;-0.229;0.112
25.626;-0.262;0.118
25.660;-0.295;0.127
25.693;-0.323;0.136
25.726;-0.348;0.143
25.760;-0.370;0.150
25.793;-0.386;0.158
25.826;-0.398;0.166
25.860;-0.407;0.171
25.893;-0.413;0.174
25.926;-0.417;0.174
25.959;-0.418;0.171
25.993;-0.415;0.168
26.026;-0.409;0.166
26.059;-0.397;0.163
26.093;-0.381;0.158
26.126;-0.360;0.151
26.159;-0.338;0.143
26.193;-0.309;0.134
26.226;-0.282;0.125
26.259;-0.251;0.115
26.293;-0.217;0.106
26.326;-0.178;9.805E-2
26.359;-0.139;9.060E-2
26.393;-9.972E-2;8.647E-2
26.426;-5.860E-2;8.272E-2
26.459;-1.584E-2;7.855E-2
26.493;2.791E-2;7.479E-2
26.526;7.180E-2;7.143E-2
26.559;0.116;7.332E-2
26.593;0.158;7.710E-2
26.626;0.199;8.026E-2
26.659;0.238;8.563E-2
26.693;0.275;9.256E-2
26.726;0.311;0.101
26.759;0.343;0.107
26.793;0.373;0.112
26.826;0.402;0.117
26.859;0.424;0.123
26.892;0.442;0.131
26.926;0.459;0.138
26.959;0.470;0.143
26.993;0.479;0.145
27.026;0.483;0.146
27.059;0.485;0.146
27.093;0.485;0.146
27.126;0.481;0.143
27.159;0.471;0.138
27.192;0.458;0.135
27.226;0.438;0.131
27.259;0.418;0.127
27.292;0.393;0.121
27.326;0.367;0.113
27.359;0.337;0.103
27.392;0.305;9.526E-2
27.426;0.269;8.787E-2
27.459;0.230;8.316E-2
27.492;0.191;7.905E-2
27.526;0.149;7.657E-2
27.559;0.106;7.498E-2
27.592;6.272E-2;7.600E-2
27.626;1.970E-2;7.703E-2
27.659;-2.345E-2;7.638E-2
27.692;-6.412E-2;7.756E-2
27.726;-0.107;8.455E-2
27.759;-0.145;9.510E-2
27.792;-0.183;0.104
27.826;-0.218;0.110
27.859;-0.253;0.117
27.892;-0.284;0.126
27.926;-0.313;0.133
27.959;-0.340;0.141
27.992;-0.363;0.148
28.026;-0.380;0.155
28.059;-0.392;0.162
28.092;-0.400;0.169
28.126;-0.407;0.173
28.159;-0.412;0.173
28.192;-0.413;0.171
28.225;-0.412;0.168
28.259;-0.406;0.166
28.292;-0.394;0.162
28.325;-0.381;0.158
28.359;-0.361;0.151
28.392;-0.339;0.143
28.425;-0.313;0.135
28.459;-0.286;0.127
28.492;-0.254;0.118
28.525;-0.221;0.109
28.559;-0.186;9.907E-2
28.592;-0.148;9.214E-2
28.625;-0.108;8.725E-2
28.659;-6.681E-2;8.430E-2
28.692;-2.406E-2;8.044E-2
28.725;1.728E-2;7.629E-2
28.759;6.150E-2;7.217E-2
28.792;0.104;7.272E-2
28.825;0.147;7.676E-2
28.859;0.188;7.931E-2
28.892;0.228;8.353E-2
28.925;0.264;9.036E-2
28.959;0.300;9.920E-2
28.992;0.332;0.107
29.025;0.363;0.112
29.059;0.390;0.115
29.092;0.414;0.120
29.125;0.435;0.128
29.159;0.451;0.135
29.192;0.463;0.140
29.225;0.472;0.143
29.258;0.476;0.144
29.292;0.479;0.145
29.325;0.479;0.145
29.358;0.476;0.142
29.392;0.469;0.138
29.425;0.455;0.133
29.458;0.439;0.130
29.492;0.418;0.127
29.525;0.395;0.123
29.558;0.371;0.115
29.592;0.341;0.105
29.625;0.311;9.710E-2
29.658;0.276;8.993E-2
29.692;0.239;8.475E-2
29.725;0.199;8.008E-2
29.758;0.158;7.731E-2
29.792;0.117;7.609E-2
29.825;7.415E-2;7.663E-2
29.858;3.191E-2;7.753E-2
29.892;-1.041E-2;7.742E-2
29.925;-5.232E-2;7.703E-2
29.958;-9.275E-2;8.132E-2
29.992;-0.132;9.150E-2
30.025;-0.168;0.101
30.058;-0.204;0.108
30.092;-0.237;0.113
30.125;-0.269;0.121
30.158;-0.301;0.130
30.192;-0.328;0.137
30.225;-0.350;0.143
30.258;-0.369;0.150
30.292;-0.382;0.157
30.325;-0.392;0.165
30.358;-0.399;0.170
30.392;-0.403;0.171
30.425;-0.407;0.170
30.458;-0.405;0.166
30.492;-0.400;0.163
30.525;-0.391;0.160
30.558;-0.380;0.157
30.591;-0.360;0.151
30.625;-0.339;0.143
30.658;-0.315;0.136
30.691;-0.288;0.128
30.725;-0.260;0.120
30.758;-0.227;0.110
30.791;-0.192;0.101
30.825;-0.155;9.266E-2
