;massa_A;
t;x;y
16.628;0.190;8.233E-2
16.662;0.217;8.614E-2
16.695;0.243;9.142E-2
16.728;0.265;9.621E-2
16.762;0.284;9.937E-2
16.795;0.302;0.102
16.828;0.319;0.105
16.862;0.334;0.109
16.895;0.345;0.114
16.928;0.353;0.117
16.962;0.358;0.115
16.995;0.360;0.114
17.028;0.357;0.115
17.062;0.353;0.115
17.095;0.349;0.114
17.128;0.341;0.111
17.162;0.328;0.108
17.195;0.311;0.103
17.228;0.291;9.991E-2
17.261;0.272;9.671E-2
17.295;0.252;9.285E-2
17.328;0.231;8.915E-2
17.362;0.206;8.401E-2
17.395;0.178;8.215E-2
17.428;0.147;7.959E-2
17.462;0.114;7.465E-2
17.495;8.568E-2;7.359E-2
17.528;5.988E-2;7.407E-2
17.561;3.030E-2;7.296E-2
17.595;-2.491E-3;7.244E-2
17.628;-3.597E-2;7.490E-2
17.661;-6.740E-2;7.863E-2
17.695;-9.494E-2;8.098E-2
17.728;-0.121;8.381E-2
17.761;-0.144;8.776E-2
17.795;-0.168;9.080E-2
17.828;-0.194;9.456E-2
17.861;-0.217;9.958E-2
17.895;-0.237;0.104
17.928;-0.252;0.109
17.961;-0.264;0.112
17.995;-0.273;0.112
18.028;-0.280;0.114
18.061;-0.287;0.117
18.095;-0.290;0.118
18.128;-0.292;0.119
18.161;-0.290;0.119
18.195;-0.284;0.115
18.228;-0.275;0.112
18.261;-0.263;0.111
18.295;-0.252;0.109
18.328;-0.240;0.106
18.361;-0.222;0.101
18.395;-0.201;9.506E-2
18.428;-0.176;9.195E-2
18.461;-0.150;8.803E-2
18.494;-0.126;8.454E-2
18.528;-0.101;8.251E-2
18.561;-7.537E-2;7.950E-2
18.594;-4.716E-2;7.454E-2
18.628;-1.489E-2;7.293E-2
18.661;1.882E-2;7.265E-2
18.694;4.971E-2;7.262E-2
18.728;7.566E-2;7.398E-2
18.761;0.103;7.459E-2
18.794;0.133;7.661E-2
18.828;0.161;8.049E-2
18.861;0.189;8.257E-2
18.894;0.214;8.581E-2
18.928;0.237;9.117E-2
18.961;0.257;9.395E-2
18.994;0.275;9.709E-2
19.028;0.292;0.101
19.061;0.308;0.103
19.094;0.321;0.105
19.128;0.330;0.109
19.161;0.337;0.111
19.194;0.341;0.111
19.228;0.342;0.112
19.261;0.342;0.111
19.294;0.337;0.110
19.328;0.330;0.109
19.361;0.319;0.106
