;massa_A;
t;x;y
7.248;9.435E-2;7.407E-2
7.265;0.116;7.779E-2
7.281;0.137;8.185E-2
7.298;0.157;8.621E-2
7.315;0.177;9.093E-2
7.331;0.197;9.585E-2
7.348;0.215;0.101
7.365;0.233;0.106
7.381;0.250;0.112
7.398;0.266;0.117
7.415;0.282;0.123
7.431;0.296;0.128
7.448;0.309;0.134
7.465;0.322;0.139
7.481;0.333;0.144
7.498;0.344;0.148
7.515;0.353;0.153
7.531;0.362;0.157
7.548;0.369;0.160
7.565;0.376;0.164
7.581;0.381;0.167
7.598;0.386;0.169
7.615;0.389;0.170
7.631;0.391;0.172
7.648;0.392;0.172
7.665;0.392;0.172
7.681;0.391;0.172
7.698;0.389;0.171
7.715;0.386;0.170
7.731;0.382;0.168
7.748;0.378;0.165
7.765;0.371;0.163
7.781;0.364;0.159
7.798;0.357;0.156
7.815;0.348;0.152
7.831;0.337;0.147
7.848;0.327;0.143
7.865;0.315;0.138
7.881;0.302;0.133
7.898;0.289;0.128
7.915;0.274;0.123
7.931;0.259;0.117
7.948;0.243;0.112
7.965;0.227;0.107
7.981;0.209;0.102
7.998;0.191;9.671E-2
8.015;0.172;9.194E-2
8.031;0.153;8.733E-2
8.048;0.133;8.325E-2
8.065;0.113;7.941E-2
8.081;9.201E-2;7.589E-2
8.098;7.067E-2;7.302E-2
8.114;4.933E-2;7.031E-2
8.131;2.747E-2;6.810E-2
8.148;5.540E-3;6.636E-2
8.164;-1.661E-2;6.502E-2
8.181;-3.890E-2;6.424E-2
8.198;-6.103E-2;6.396E-2
8.215;-8.330E-2;6.413E-2
8.231;-0.105;6.489E-2
8.248;-0.127;6.596E-2
8.264;-0.149;6.749E-2
8.281;-0.170;6.954E-2
8.298;-0.192;7.208E-2
8.314;-0.212;7.492E-2
8.331;-0.232;7.810E-2
8.348;-0.252;8.148E-2
8.364;-0.271;8.521E-2
8.381;-0.290;8.931E-2
8.398;-0.307;9.355E-2
8.414;-0.325;9.789E-2
8.431;-0.341;0.102
8.448;-0.356;0.107
8.464;-0.371;0.112
8.481;-0.384;0.116
8.498;-0.397;0.120
8.514;-0.409;0.125
8.531;-0.420;0.129
8.548;-0.430;0.133
8.564;-0.438;0.136
8.581;-0.446;0.139
8.598;-0.453;0.142
8.614;-0.459;0.145
8.631;-0.463;0.147
8.648;-0.467;0.148
8.664;-0.470;0.149
8.681;-0.471;0.150
8.698;-0.471;0.150
8.714;-0.471;0.150
8.731;-0.469;0.149
8.748;-0.466;0.148
8.764;-0.462;0.146
8.781;-0.458;0.144
8.798;-0.451;0.141
8.814;-0.445;0.138
8.831;-0.437;0.135
8.848;-0.427;0.131
8.864;-0.417;0.127
8.881;-0.406;0.123
8.898;-0.394;0.119
8.914;-0.381;0.114
8.931;-0.367;0.110
8.948;-0.352;0.105
8.964;-0.337;0.100
8.981;-0.321;9.601E-2
8.998;-0.303;9.167E-2
9.014;-0.286;8.746E-2
9.031;-0.267;8.344E-2
9.047;-0.248;7.967E-2
9.064;-0.228;7.623E-2
9.081;-0.208;7.312E-2
9.097;-0.188;7.034E-2
9.114;-0.166;6.813E-2
9.131;-0.145;6.616E-2
9.148;-0.123;6.450E-2
9.164;-0.102;6.345E-2
9.181;-7.966E-2;6.286E-2
9.198;-5.747E-2;6.280E-2
9.214;-3.539E-2;6.318E-2
9.231;-1.335E-2;6.411E-2
9.248;8.592E-3;6.557E-2
9.264;3.029E-2;6.750E-2
9.281;5.211E-2;6.980E-2
9.298;7.322E-2;7.247E-2
9.314;9.420E-2;7.560E-2
9.331;0.115;7.898E-2
9.348;0.135;8.292E-2
9.364;0.154;8.699E-2
9.381;0.173;9.151E-2
9.398;0.192;9.619E-2
9.414;0.210;0.101
9.431;0.227;0.106
9.448;0.243;0.111
9.464;0.259;0.117
9.481;0.274;0.122
9.498;0.288;0.127
9.514;0.301;0.132
9.531;0.313;0.137
9.547;0.325;0.142
9.564;0.336;0.146
9.581;0.345;0.151
9.597;0.354;0.154
9.614;0.362;0.158
9.631;0.368;0.161
9.647;0.375;0.164
9.664;0.379;0.166
9.681;0.383;0.168
9.697;0.386;0.169
9.714;0.388;0.170
9.731;0.388;0.171
9.747;0.388;0.170
9.764;0.386;0.170
9.781;0.384;0.168
9.797;0.381;0.166
9.814;0.376;0.164
9.831;0.370;0.161
9.847;0.364;0.158
9.864;0.356;0.155
9.881;0.347;0.150
9.897;0.338;0.146
9.914;0.327;0.141
9.931;0.315;0.137
9.947;0.303;0.132
9.964;0.289;0.126
9.981;0.274;0.121
9.997;0.259;0.115
10.014;0.242;0.110
10.031;0.225;0.105
10.047;0.207;9.945E-2
10.064;0.189;9.445E-2
10.081;0.169;8.965E-2
10.097;0.149;8.513E-2
10.114;0.129;8.086E-2
10.131;0.108;7.711E-2
10.147;8.671E-2;7.372E-2
10.164;6.506E-2;7.064E-2
10.181;4.312E-2;6.798E-2
10.197;2.103E-2;6.586E-2
10.214;-1.326E-3;6.418E-2
10.231;-2.365E-2;6.313E-2
10.247;-4.592E-2;6.257E-2
10.264;-6.824E-2;6.250E-2
10.280;-9.053E-2;6.285E-2
10.297;-0.112;6.368E-2
10.314;-0.134;6.481E-2
10.331;-0.156;6.662E-2
10.347;-0.176;6.888E-2
10.364;-0.197;7.146E-2
10.381;-0.217;7.433E-2
10.397;-0.237;7.764E-2
10.414;-0.256;8.130E-2
10.431;-0.274;8.498E-2
10.447;-0.292;8.904E-2
10.464;-0.309;9.331E-2
10.480;-0.325;9.747E-2
10.497;-0.340;0.102
10.514;-0.355;0.106
10.530;-0.369;0.111
10.547;-0.381;0.115
10.564;-0.393;0.119
10.581;-0.404;0.123
10.597;-0.415;0.127
10.614;-0.424;0.130
10.630;-0.432;0.134
10.647;-0.439;0.137
10.664;-0.445;0.140
10.680;-0.451;0.142
10.697;-0.455;0.144
10.714;-0.458;0.146
10.730;-0.461;0.147
10.747;-0.462;0.147
10.764;-0.462;0.148
10.780;-0.462;0.147
10.797;-0.460;0.147
10.814;-0.458;0.146
10.830;-0.454;0.144
10.847;-0.449;0.142
10.864;-0.444;0.140
10.880;-0.437;0.137
10.897;-0.430;0.134
10.914;-0.421;0.131
10.930;-0.411;0.127
10.947;-0.401;0.123
10.964;-0.389;0.119
10.980;-0.377;0.115
10.997;-0.364;0.111
11.014;-0.349;0.106
11.030;-0.334;0.102
11.047;-0.318;9.733E-2
11.064;-0.301;9.305E-2
11.080;-0.284;8.900E-2
11.097;-0.266;8.493E-2
11.114;-0.247;8.112E-2
11.130;-0.227;7.769E-2
11.147;-0.207;7.453E-2
11.164;-0.186;7.171E-2
11.180;-0.165;6.929E-2
11.197;-0.144;6.717E-2
11.214;-0.122;6.569E-2
11.230;-9.936E-2;6.461E-2
11.247;-7.730E-2;6.418E-2
11.264;-5.509E-2;6.398E-2
11.280;-3.273E-2;6.436E-2
11.297;-1.041E-2;6.523E-2
11.314;1.190E-2;6.652E-2
11.330;3.391E-2;6.832E-2
11.347;5.569E-2;7.067E-2
11.364;7.701E-2;7.343E-2
11.380;9.833E-2;7.647E-2
11.397;0.119;8.002E-2
11.414;0.139;8.392E-2
11.430;0.159;8.796E-2
11.447;0.178;9.249E-2
11.464;0.196;9.711E-2
11.480;0.214;0.102
11.497;0.231;0.107
11.514;0.247;0.112
11.530;0.262;0.117
11.547;0.277;0.122
11.564;0.291;0.126
11.580;0.303;0.131
11.597;0.315;0.136
11.614;0.326;0.140
11.630;0.337;0.144
11.647;0.346;0.149
11.664;0.354;0.152
11.680;0.361;0.155
11.697;0.368;0.158
11.713;0.373;0.160
11.730;0.377;0.163
11.747;0.380;0.164
11.764;0.382;0.165
11.780;0.384;0.166
11.797;0.384;0.166
11.814;0.383;0.165
11.830;0.382;0.164
11.847;0.379;0.163
11.863;0.375;0.161
11.880;0.370;0.159
11.897;0.365;0.156
11.913;0.358;0.153
11.930;0.351;0.149
11.947;0.342;0.145
11.963;0.332;0.141
11.980;0.321;0.137
11.997;0.310;0.132
12.014;0.298;0.128
12.030;0.284;0.123
12.047;0.270;0.118
12.063;0.255;0.113
12.080;0.239;0.107
12.097;0.223;0.102
12.113;0.205;9.780E-2
12.130;0.187;9.298E-2
12.147;0.168;8.834E-2
12.163;0.148;8.419E-2
12.180;0.128;8.019E-2
12.197;0.107;7.642E-2
12.213;8.629E-2;7.313E-2
12.230;6.511E-2;7.035E-2
12.247;4.340E-2;6.794E-2
12.263;2.126E-2;6.594E-2
12.280;-9.654E-4;6.443E-2
12.297;-2.322E-2;6.337E-2
12.313;-4.564E-2;6.276E-2
12.330;-6.796E-2;6.270E-2
12.347;-9.018E-2;6.322E-2
12.363;-0.112;6.429E-2
12.380;-0.134;6.567E-2
12.397;-0.156;6.757E-2
12.413;-0.177;6.996E-2
12.430;-0.197;7.262E-2
12.447;-0.217;7.564E-2
12.463;-0.237;7.898E-2
12.480;-0.256;8.265E-2
12.497;-0.274;8.666E-2
12.513;-0.292;9.080E-2
12.530;-0.309;9.505E-2
12.547;-0.325;9.947E-2
12.563;-0.340;0.104
12.580;-0.355;0.108
12.597;-0.368;0.113
12.613;-0.381;0.117
12.630;-0.393;0.121
12.646;-0.403;0.125
12.663;-0.413;0.129
12.680;-0.422;0.132
12.697;-0.430;0.136
12.713;-0.436;0.138
12.730;-0.442;0.141
12.747;-0.447;0.143
12.763;-0.451;0.145
12.780;-0.454;0.146
12.797;-0.456;0.147
12.813;-0.456;0.147
12.830;-0.456;0.147
12.847;-0.455;0.147
12.863;-0.453;0.146
12.880;-0.450;0.144
12.897;-0.446;0.142
12.913;-0.441;0.140
12.930;-0.435;0.138
12.947;-0.428;0.135
12.963;-0.420;0.132
12.980;-0.411;0.128
12.996;-0.402;0.124
13.013;-0.391;0.121
13.030;-0.380;0.116
13.047;-0.367;0.112
13.063;-0.354;0.108
13.080;-0.340;0.104
13.096;-0.325;9.925E-2
13.113;-0.309;9.493E-2
13.130;-0.293;9.078E-2
13.146;-0.276;8.676E-2
13.163;-0.258;8.285E-2
13.180;-0.239;7.925E-2
13.196;-0.220;7.594E-2
13.213;-0.201;7.296E-2
13.230;-0.181;7.019E-2
13.246;-0.160;6.775E-2
13.263;-0.139;6.577E-2
13.280;-0.118;6.421E-2
13.296;-9.654E-2;6.317E-2
13.313;-7.490E-2;6.258E-2
13.330;-5.288E-2;6.245E-2
13.346;-3.109E-2;6.281E-2
13.363;-9.117E-3;6.361E-2
13.380;1.293E-2;6.483E-2
13.396;3.472E-2;6.669E-2
13.413;5.628E-2;6.891E-2
13.430;7.775E-2;7.175E-2
13.446;9.891E-2;7.472E-2
13.463;0.120;7.819E-2
13.480;0.140;8.201E-2
13.496;0.160;8.610E-2
13.513;0.179;9.056E-2
13.530;0.197;9.536E-2
13.546;0.215;0.100
13.563;0.232;0.105
13.580;0.249;0.110
13.596;0.265;0.116
13.613;0.279;0.121
13.630;0.294;0.126
13.646;0.307;0.131
13.663;0.319;0.136
13.680;0.330;0.140
13.696;0.340;0.145
13.713;0.349;0.149
13.730;0.358;0.152
13.746;0.365;0.156
13.763;0.370;0.159
13.780;0.375;0.161
13.796;0.379;0.163
13.813;0.382;0.165
13.830;0.384;0.166
13.846;0.385;0.166
13.863;0.385;0.166
13.880;0.383;0.165
13.896;0.381;0.164
13.913;0.378;0.163
13.930;0.373;0.161
13.946;0.368;0.158
13.963;0.361;0.155
13.979;0.354;0.152
13.996;0.346;0.148
14.013;0.337;0.144
14.029;0.326;0.140
14.046;0.315;0.136
14.063;0.303;0.131
14.079;0.290;0.126
14.096;0.276;0.121
14.113;0.261;0.116
14.130;0.245;0.111
14.146;0.229;0.106
14.163;0.213;0.101
14.180;0.195;9.653E-2
14.196;0.177;9.184E-2
14.213;0.158;8.759E-2
14.229;0.139;8.354E-2
14.246;0.119;7.973E-2
14.263;9.840E-2;7.627E-2
14.280;7.772E-2;7.325E-2
14.296;5.707E-2;7.065E-2
14.313;3.588E-2;6.836E-2
14.329;1.447E-2;6.649E-2
14.346;-7.035E-3;6.518E-2
14.363;-2.842E-2;6.438E-2
14.380;-4.981E-2;6.393E-2
14.396;-7.129E-2;6.405E-2
14.413;-9.271E-2;6.455E-2
14.430;-0.114;6.551E-2
14.446;-0.135;6.699E-2
14.463;-0.155;6.868E-2
14.479;-0.176;7.091E-2
14.496;-0.196;7.346E-2
14.513;-0.215;7.623E-2
14.529;-0.235;7.944E-2
14.546;-0.253;8.289E-2
14.563;-0.271;8.665E-2
14.579;-0.289;9.059E-2
14.596;-0.305;9.466E-2
14.613;-0.321;9.885E-2
14.629;-0.336;0.103
14.646;-0.351;0.107
14.663;-0.364;0.112
14.679;-0.377;0.116
14.696;-0.389;0.120
14.713;-0.400;0.124
14.729;-0.411;0.127
14.746;-0.420;0.131
14.763;-0.428;0.134
14.779;-0.435;0.137
14.796;-0.441;0.139
14.813;-0.446;0.141
14.829;-0.450;0.143
14.846;-0.453;0.144
14.863;-0.456;0.145
14.879;-0.457;0.146
14.896;-0.457;0.146
14.913;-0.456;0.145
14.929;-0.454;0.144
14.946;-0.451;0.143
14.963;-0.447;0.141
14.979;-0.442;0.139
14.996;-0.436;0.136
15.013;-0.429;0.133
15.029;-0.421;0.130
15.046;-0.412;0.127
15.063;-0.402;0.123
15.079;-0.391;0.119
15.096;-0.379;0.115
15.112;-0.366;0.110
15.129;-0.352;0.105
15.146;-0.337;0.101
15.163;-0.322;9.667E-2
15.179;-0.305;9.231E-2
15.196;-0.289;8.816E-2
15.213;-0.271;8.416E-2
15.229;-0.252;8.028E-2
15.246;-0.233;7.681E-2
15.263;-0.214;7.366E-2
15.279;-0.193;7.074E-2
15.296;-0.173;6.815E-2
15.312;-0.152;6.607E-2
15.329;-0.131;6.426E-2
15.346;-0.109;6.297E-2
15.363;-8.779E-2;6.214E-2
15.379;-6.592E-2;6.182E-2
15.396;-4.421E-2;6.184E-2
15.413;-2.238E-2;6.249E-2
15.429;-8.235E-4;6.362E-2
15.446;2.065E-2;6.520E-2
15.462;4.209E-2;6.717E-2
15.479;6.307E-2;6.969E-2
15.496;8.385E-2;7.267E-2
15.512;0.104;7.591E-2
15.529;0.124;7.957E-2
15.546;0.143;8.355E-2
15.562;0.162;8.762E-2
15.579;0.180;9.205E-2
15.596;0.198;9.668E-2
15.613;0.215;0.101
15.629;0.231;0.106
15.646;0.247;0.111
15.662;0.261;0.116
15.679;0.275;0.121
15.696;0.288;0.126
15.712;0.301;0.130
15.729;0.312;0.135
15.746;0.323;0.139
15.762;0.332;0.143
15.779;0.341;0.147
15.796;0.349;0.151
15.812;0.356;0.154
15.829;0.362;0.157
15.846;0.367;0.159
15.862;0.371;0.161
15.879;0.374;0.163
15.896;0.376;0.164
15.912;0.377;0.165
15.929;0.377;0.165
15.946;0.376;0.164
15.962;0.374;0.163
15.979;0.371;0.162
15.996;0.367;0.160
16.012;0.362;0.158
16.029;0.356;0.155
16.046;0.349;0.152
16.062;0.340;0.148
16.079;0.332;0.144
16.096;0.321;0.140
16.112;0.311;0.136
16.129;0.299;0.131
16.146;0.286;0.126
16.162;0.272;0.121
16.179;0.258;0.116
16.196;0.243;0.111
16.212;0.226;0.106
16.229;0.209;0.101
16.246;0.192;9.646E-2
16.262;0.173;9.184E-2
16.279;0.154;8.743E-2
16.296;0.135;8.335E-2
16.312;0.115;7.948E-2
16.329;9.460E-2;7.592E-2
16.346;7.364E-2;7.295E-2
16.362;5.238E-2;7.023E-2
16.379;3.120E-2;6.787E-2
